TW, __, __, DL, __, __, __, TW, __, __, __, DL, __, __, TW
__, DW, __, __, __, 3L, __, __, __, 3L, __, __, __, DW, __
__, __, DW, __, __, __, DL, __, DL, __, __, __, DW, __, __
DL, __, __, DW, __, __, __, DL, __, __, __, DW, __, __, DL
__, __, __, __, DW, __, __, __, __, __, DW, __, __, __, __
__, 3L, __, __, __, 3L, __, __, __, 3L, __, __, __, 3L, __
__, __, DL, __, __, __, DL, __, DL, __, __, __, DL, __, __
TW, __, __, DL, __, __, __, CE, __, __, __, DL, __, __, TW
__, __, DL, __, __, __, DL, __, DL, __, __, __, DL, __, __
__, 3L, __, __, __, 3L, __, __, __, 3L, __, __, __, 3L, __
__, __, __, __, DW, __, __, __, __, __, DW, __, __, __, __
DL, __, __, DW, __, __, __, DL, __, __, __, DW, __, __, DL
__, __, DW, __, __, __, DL, __, DL, __, __, __, DW, __, __
__, DW, __, __, __, 3L, __, __, __, 3L, __, __, __, DW, __
TW, __, __, DL, __, __, __, TW, __, __, __, DL, __, __, TW
